id,name,host_id,host_acceptance_rate,host_total_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
3781,HARBORSIDE-Walk to subway,4804,33%,5,East Boston,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1,1,1,$125.00 ,29,1125,4.96,5,4.96,5,4.96,4.84,4.88
5506,** Fort Hill Inn Private! Minutes to center!**,8229,99%,14,Roxbury,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1,1,1,$139.00 ,3,90,4.79,4.88,4.9,4.95,4.89,4.56,4.75
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,99%,14,Roxbury,42.32802,-71.09387,Entire condo,Entire home/apt,4,1,0,2,$179.00 ,3,730,4.81,4.82,4.87,4.9,4.95,4.52,4.72
8789,Curved Glass Studio/1bd facing Park,26988,46%,31,Beacon Hill,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1,1,2,$92.00 ,91,365,4.69,4.69,4.55,4.93,4.97,4.97,4.59
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,57%,29,Back Bay,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1,0,1,$130.00 ,91,1125,4.33,4.44,4.67,4.56,4,5,4.67
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,57%,29,Back Bay,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1,0,1,$130.00 ,32,1125,5,5,4.8,5,5,5,4.8
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,57%,29,North End,42.36377,-71.05206,Entire condo,Entire home/apt,2,1,0,1,$130.00 ,32,1125,4,5,3,2,5,5,4
18711,230B1 · The Dorset Redline | 3BR 1BA w/Central Air,71783,93%,68,Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,7,1,3,3,$143.00 ,30,1125,4.31,4.5,4.71,4.56,4.46,4.24,4.48
40601,Private room & bath - Jamaica Plain,174986,78%,1,Jamaica Plain,42.31347,-71.11082,Private room in home,Private room,2,1.5,1,1,$100.00 ,29,120,4.98,4.95,5,4.97,4.94,4.93,4.93
45987,Garden Studio,205107,100%,3,Charlestown,42.37424,-71.06081,Entire rental unit,Entire home/apt,3,1,1,1,$100.00 ,29,1125,4.66,4.68,4.76,4.74,4.71,4.82,4.52
